b i r t h d a y
n a m e
Ф 
"Ф-1 (граната)" 
"McDonnell F-101 Voodoo" 
"McDonnell F-101 Voodoo" 
"Lockheed F-104 Starfighter" 
"Republic F-105 Thunderchief" 
"General Dynamics F-111" 
"Grumman F-14 Tomcat" 
"McDonnell Douglas F-15 Eagle" 
"General Dynamics F-16 Fighting Falcon" 
"McDonnell Douglas F/A-18 Hornet" 
"McDonnell Douglas F/A-18 Hornet" 
"Ф-1 (граната)" 
"Ф-1 (значения)" 
"Ф-1 (реактор)" 
"Формула-1 в сезоне 2008" 
"Формула-1 в сезоне 2009" 
"Формула-1 в сезоне 2010" 
Фенилацетон 
"76-мм дивизионная пушка образца 1936 года (Ф-22)" 
"76-мм дивизионная пушка образца 1939 года (УСВ)" 
"Lockheed/Boeing F-22 Raptor" 
"Lockheed/Boeing F-22 Raptor" 
"76-мм дивизионная пушка образца 1939 года (УСВ)" 
"Международная Формула-3000" 
"76-мм танковая пушка образца 1940 года (Ф-34)" 
F-35 
F-35 
"McDonnell Douglas F-4 Phantom II" 
"McDonnell Douglas F-4 Phantom II" 
"Vought F-8 Crusader" 
"Lockheed F-80 Shooting Star" 
"Republic F-84 Thunderjet" 
"North American F-86 Sabre" 
"Vought F-8 Crusader" 
Ф-Т-Х 
"Лагарп, Фредерик Сезар" 1754-04-06
"Бредихин, Фёдор Александрович" 1831-12-08
"Ингаунис, Феликс Антонович" 1894
"Искандер, Фазиль Абдулович" 1929-03-06
"Легкошкур, Фёдор Антонович" 19190402
"Рубо, Франц Алексеевич" 1856-06-17
"Слудский, Фёдор Алексеевич" 1841-02-12
"Шаманин, Фёдор Афанасьевич" 1903-02-17
"Аделунг, Фёдор Павлович" 1768-02-25
"Маассен, Фридрих" 18230924
"Миллер, Фёдор Богданович" 1818-02-03
"Маассен, Фридрих" 18230924
"Бейлис, Ф." 
"Беке, Франц" 1898-02-28
"Буслаев, Фёдор Иванович" 
"Буше, Франсуа" 1703-09-29
"Бэкон, Фрэнсис" 1561-01-22
"Булгарин, Фаддей Венедиктович" 1789-07-05
"Бункин, Фёдор Васильевич" 1929-01-17
"Дробышев, Фёдор Васильевич" 1894-07-06
"Константинов, Фёдор Васильевич" 
"Мурнау, Фридрих Вильгельм" 1888-12-28
"Овсянников, Феликс Васильевич" 1928-06-13
"Остен-Сакен, Фабиан Вильгельмович" 1752-10-20
"Ростопчин, Фёдор Васильевич" 1763-03-12
"Вейнгартнер, Феликс" 1863-06-02
"Вёлер, Фридрих" 1800-07-31
"Волков, Фёдор Григорьевич" 1729-02-20
"Углов, Фёдор Григорьевич" 
"Якоби, Фридрих Генрих" 1743-01-25
"Галеви, Фроманталь" 1799-05-27
"Галиани, Фердинандо" 1728-12-02
"Гальдер, Франц" 1884-06-30
"Гальтон, Фрэнсис" 1822-02-16
"Гваттари, Феликс" 1930-04-30
"Гельбке, Фридрих" 1842-03-01
"Гизо, Франсуа" 1787-10-04
"Гомилиус, Фридрих Христианович" 1813-10-15
"Грей, Феликс Гэри" 1969-07-17
"Медведь, Филипп Демьянович" 1890
"Ф. Д. Ч. Уиллард" 
"Дан, Фёдор Ильич" 1871-10-19
"Делорм, Филибер" 
"Дробышев, Фёдор Васильевич" 1894-07-06
"Дюкенуа, Франсуа" 1597-01-12
"Дюрренматт, Фридрих" 1921-01-05
"Котанов, Фёдор Евгеньевич" 1914-04-04
"Нюрина, Фаина Ефимовна" 1885
"Бозио, Франсуа Жозеф" 1768-03-19
"Ф. Ж. Оссанг" 1956-08-07
"Булгаков, Фёдор Ильич" 1852-04-21
"Гиренок, Фёдор Иванович" 1948-03-17
"Голиков, Филипп Иванович" 1900-07-16
"Кузнецов, Фёдор Исидорович" 1898-09-29
"Толбухин, Фёдор Иванович" 1894-06-16
"Тютчев, Фёдор Иванович" 
"Шаляпин, Фёдор Иванович" 1873-02-13
"Боффо, Франц Карлович" 1796
"Дарвен (футбольный клуб, 1870)" 
"Паращенко, Феодосий Карпович" 1919-04-05
"Салманов, Фарман Курбан оглы" 1931-07-28
"Шварц, Франц Ксавер" 1875-11-27
"Карвелас, Филиппос" 
"Гроссман, Фредерик Карл" 
"Кастро, Фидель" 1926-08-13
"Кафка, Франц" 1883-07-03
"Клуэ, Франсуа" 
"Лебедев, Фёдор Михайлович" 1923-01-26
"Легкошкур, Фёдор Антонович" 19190402
"Фёдор Литке (ледокол)" 
"Ф. М." 
"Ф. М." 
"Достоевский, Фёдор Михайлович" 
"Киселёв, Фёдор Михайлович" 
"Нечай, Фёдор Макарьевич" 19050309
"Маассен, Фридрих" 18230924
"Маги, Франсуа Цезарь де" 1830-07-22
"Мажанди, Франсуа" 1783-10-06
"Мазайдек, Франц Фридрих" 18401004
"Майер, Фридрих Христофор" 1697-10-09
"Кроуфорд, Фрэнсис Марион" 1854-08-02
"Маркотт, Феликс" 18651206
"Мартынов, Фёдор Кузьмич" 1910-03-12
"Миллс, Фред" 1935
"Миллс, Фред" 1935
"Абрахам, Ф. Мюррей" 1939-10-24
"Абрахам, Ф. Мюррей" 1939-10-24
"Кольбе, Фёдор Никитич" 1861-03-07
